epoch,accuracy,loss,val_accuracy,val_loss
0,0.38084694743156433,1.3220951557159424,0.45821326971054077,1.2721246480941772
1,0.6504290103912354,0.9881532788276672,0.6916426420211792,0.8942186832427979
2,0.7913091778755188,0.5771706104278564,0.7060518860816956,0.765789806842804
3,0.8466648459434509,0.4039088785648346,0.6858789920806885,0.7909364700317383
4,0.8798782229423523,0.32266753911972046,0.680115282535553,0.7826066613197327
5,0.9141987562179565,0.25897592306137085,0.6772334575653076,0.8655630350112915
6,0.9319125413894653,0.21124660968780518,0.6945244669914246,0.8820822834968567
7,0.9407694339752197,0.17730720341205597,0.7002881765365601,0.9384083151817322
8,0.952117383480072,0.15033668279647827,0.7002881765365601,0.9957517981529236
9,0.9604207277297974,0.13256481289863586,0.7031700015068054,1.0504443645477295
10,0.9667866230010986,0.11735443770885468,0.6945244669914246,1.1156096458435059
11,0.9667866230010986,0.10901656001806259,0.6916426420211792,1.1102713346481323
12,0.9709382653236389,0.1019044741988182,0.7002881765365601,1.1840126514434814
13,0.972875714302063,0.09289147704839706,0.6887608170509338,1.1669583320617676
14,0.9725989699363708,0.08883211016654968,0.6945244669914246,1.2097514867782593
15,0.975643515586853,0.07976807653903961,0.6541786789894104,1.3284823894500732
16,0.9753667116165161,0.07896929234266281,0.6657060384750366,1.2976759672164917
17,0.9773041605949402,0.07140205055475235,0.6714697480201721,1.4414466619491577
18,0.976473867893219,0.07464055716991425,0.6599423885345459,1.4005370140075684
19,0.9775809645652771,0.06629811227321625,0.6714697480201721,1.3987327814102173
20,0.9753667116165161,0.06649076193571091,0.6887608170509338,1.4207006692886353
21,0.977027416229248,0.06662295758724213,0.6829971075057983,1.4670276641845703
22,0.9800719618797302,0.06231851503252983,0.6599423885345459,1.480149269104004
23,0.9784113168716431,0.05732106789946556,0.6685879230499268,1.494797945022583
24,0.9775809645652771,0.06363093852996826,0.6599423885345459,1.569253921508789
